HPO,Name,Base term frequency,Propagated frequency
HP:0002094,Dyspnea,0.401617944,0.428393185
HP:0002098,Respiratory distress,0.424654748,0.428369845
HP:0011804,Abnormal muscle physiology,6.67E-07,0.427881701
HP:0004372,Reduced consciousness/confusion,0.001012966,0.425892447
HP:0012378,Fatigue,0.425432978,0.425433645
HP:0002315,Headache,0.41149953,0.419593253
HP:0002012,Abnormality of the abdominal organs,0,0.418322211
HP:0031703,Abnormal ear morphology,1.00E-05,0.412487821
HP:0010783,Erythema,0.408141204,0.409233527
HP:0002493,Upper motor neuron dysfunction,1.33E-05,0.405663139
HP:0011024,Abnormality of the gastrointestinal tract,0.006261849,0.404386095
HP:0011032,Abnormality of fluid regulation,0.000124037,0.400885728
HP:0002014,Diarrhea,0.387700501,0.397794815
HP:0003808,Abnormal muscle tone,0.004528004,0.397737465
HP:0031664,Systolic heart murmur,0.391278891,0.391722355
HP:0031816,Abnormal oral morphology,0,0.388358028
HP:0001392,Abnormality of the liver,0.015019769,0.388324018
HP:0001276,Hypertonia,0.014401587,0.388123292
HP:0001250,Seizure,0.318110615,0.387556458
HP:0001257,Spasticity,0.009245397,0.385987995
HP:0000079,Abnormality of the urinary system,0.000104698,0.385877296
HP:0002527,Falls,0.385059721,0.385059721
HP:0031416,Abnormal nasal mucus secretion,0,0.384210804
HP:0031417,Rhinorrhea,0.384210804,0.384210804
HP:0001264,Spastic diplegia,0.38391805,0.38391805
HP:0006536,Pulmonary obstruction,0.001767189,0.383147156
HP:0006510,Chronic pulmonary obstruction,0.382908419,0.382908419
HP:0030828,Wheezing,0.382113518,0.382113518
HP:0000600,Abnormality of the pharynx,0,0.381634709
HP:0011355,Localized skin lesion,2.00E-06,0.381144565
HP:0030956,Abnormality of cardiovascular system electrophysiology,6.67E-07,0.381017861
HP:0031466,Impairment in personality functioning,0,0.380469699
HP:0033151,Abnormal pharynx morphology,0,0.378381749
HP:0000163,Abnormal oral cavity morphology,6.67E-07,0.376835959
HP:0031668,Diastolic heart murmur,0.371473709,0.371473709
HP:0004329,Abnormal posterior eye segment morphology,0,0.369805883
HP:0001098,Abnormal fundus morphology,0,0.369105676
HP:0000479,Abnormal retinal morphology,0.009884252,0.367091081
HP:0002099,Asthma,0.366356197,0.366418882
HP:0001507,Growth abnormality,0.001010965,0.365823373
HP:0000818,Abnormality of the endocrine system,0.025206778,0.361105313
HP:0011675,Arrhythmia,0.041570277,0.356695344
HP:0025439,Pharyngitis,0.354791448,0.354794116
HP:0002027,Abdominal pain,0.343356071,0.353349689
HP:0001103,Abnormal macular morphology,1.47E-05,0.346350289
HP:0030506,Yellow/white lesions of the retina,0,0.345772785
HP:0030500,Yellow/white lesions of the macula,0,0.345219955
HP:0012719,Functional abnormality of the gastrointestinal tract,0.000151378,0.34509992
HP:0001742,Nasal obstruction,0.344683797,0.344683797
HP:0004323,Abnormality of body weight,1.33E-06,0.343180019
HP:0031704,Abnormal ear physiology,6.67E-07,0.341789609
HP:0007677,Vitelliform-like macular lesions,0.341475516,0.341475516
HP:0100851,Abnormal emotion/affect behavior,6.67E-07,0.338152534
HP:0410042,Abnormal liver morphology,5.33E-06,0.335526425
HP:0011843,Abnormality of musculoskeletal physiology,0,0.335075626
HP:0000078,Abnormality of the genital system,0.000312092,0.335067623
HP:0010622,Neoplasm of the skeletal system,0.001076985,0.330957743
HP:0100777,Exostoses,0.001623813,0.329417288
HP:0002762,Multiple exostoses,0.328822446,0.328822446
HP:0012115,Hepatitis,0.326661807,0.328032212
HP:0046506,Pain in head and neck region,6.67E-07,0.326190335
HP:0002719,Recurrent infections,0.017773916,0.323064745
HP:0011947,Respiratory tract infection,0.217558252,0.322772659
HP:0000989,Pruritus,0.315788596,0.31578993
HP:0003549,Abnormality of connective tissue,0,0.308304386
HP:0012447,Abnormal myelination,7.27E-05,0.306685241
HP:0011400,Abnormal CNS myelination,1.33E-06,0.306111071
HP:0002415,Leukodystrophy,0.001555793,0.306034382
HP:0003269,Sudanophilic leukodystrophy,0.305193467,0.305193467
HP:0002018,Nausea,0.303819061,0.303819061
HP:0000737,Irritability,0.302520678,0.302520678
HP:0000359,Abnormality of the inner ear,3.27E-05,0.299967257
HP:0011389,Functional abnormality of the inner ear,0,0.299814545
HP:0001649,Tachycardia,0.224336254,0.298128047
HP:0001751,Vestibular dysfunction,0.00151178,0.293866122
HP:0002321,Vertigo,0.293782764,0.293783431
HP:0011792,Neoplasm by histology,0,0.29343266
HP:0030766,Ear pain,0.290811886,0.290811886
HP:0001892,Abnormal bleeding,0.102944403,0.290751202
HP:0025270,Abnormality of esophagus physiology,6.67E-07,0.286909401
HP:0011277,Abnormality of the urinary system physiology,0,0.285022177
HP:0001197,Abnormality of prenatal development or birth,6.67E-07,0.284178594
HP:0001944,Dehydration,0.280998988,0.280998988
HP:0009121,Abnormal axial skeleton morphology,0,0.279013735
HP:0100242,Sarcoma,0.002233993,0.278609616
HP:0030448,Soft tissue sarcoma,0.000192057,0.277593316
HP:0009728,Neoplasm of striated muscle,1.33E-06,0.273512111
HP:0002859,Rhabdomyosarcoma,0.000660195,0.273415415
HP:0006779,Alveolar rhabdomyosarcoma,0.273111992,0.273111992
HP:0012718,Morphological abnormality of the gastrointestinal tract,0,0.270243812
HP:0025033,Abnormality of digestive system morphology,0,0.270243812
HP:0004324,Increased body weight,0.222048912,0.270002407
HP:0100763,Abnormality of the lymphatic system,0.000267412,0.267685056
HP:0002019,Constipation,0.266345327,0.266458027
HP:0000964,Eczema,0.226789645,0.265929871
HP:0012384,Rhinitis,0.155536602,0.265180983
HP:0002793,Abnormal pattern of respiration,2.87E-05,0.264693506
HP:0001025,Urticaria,0.26118447,0.261923355
HP:0011014,Abnormal glucose homeostasis,1.00E-05,0.25887112
HP:0004328,Abnormal anterior eye segment morphology,6.67E-07,0.257386015
HP:0031815,Abnormal oral physiology,0,0.257068588
HP:0010936,Abnormality of the lower urinary tract,1.33E-06,0.25664913
HP:0000014,Abnormality of the bladder,3.73E-05,0.254248421
HP:0000164,Abnormality of the dentition,0.013887435,0.254049696
HP:0003193,Allergic rhinitis,0.253199445,0.253199445
HP:0001608,Abnormality of the voice,2.67E-06,0.253096081
HP:0000009,Functional abnormality of the bladder,7.34E-06,0.252251832
HP:0002360,Sleep disturbance,0.077172125,0.251314888
HP:0100755,Abnormality of salivation,2.00E-06,0.249022878
HP:0000980,Pallor,0.248792143,0.248792143
HP:0000496,Abnormality of eye movement,0.003997847,0.247829192
HP:0001952,Glucose intolerance,0.003511037,0.245515175
HP:0000819,Diabetes mellitus,0.243131805,0.245117058
HP:0030972,Abnormal systemic blood pressure,0,0.242166853
HP:0002020,Gastroesophageal reflux,0.241349945,0.241349945
HP:0020169,Abnormal drug response,0,0.241059193
HP:0020172,Adverse drug response,0.241059193,0.241059193
HP:0000969,Edema,0.192208099,0.239962202
HP:0000315,Abnormality of the orbital region,0,0.239057935
HP:0000716,Depressivity,0.239023925,0.239023925
HP:0000549,Abnormal conjugate eye movement,0.000156713,0.23857646
HP:0000486,Strabismus,0.062243049,0.237765553
HP:0032039,Abnormality of the ocular adnexa,0,0.237592169
HP:0030669,Abnormal ocular adnexa morphology,0,0.236825276
HP:0004305,Involuntary movements,0.009434786,0.234587281
HP:0000759,Abnormal peripheral nervous system morphology,0.000177386,0.232017856
HP:0001872,Abnormal thrombocyte morphology,0.000431461,0.231457024
HP:0032263,Increased blood pressure,0.072344032,0.230932202
HP:0006530,Interstitial pulmonary abnormality,0.001677162,0.230632113
HP:0004325,Decreased body weight,0.19973899,0.229925238
HP:0010935,Abnormality of the upper urinary tract,2.00E-06,0.229776527
HP:0000517,Abnormality of the lens,1.27E-05,0.22895095
HP:0000518,Cataract,0.025210112,0.228720215
HP:0001609,Hoarse voice,0.228460139,0.228460139
HP:0000077,Abnormality of the kidney,0.00238137,0.228343437
HP:0011873,Abnormal platelet count,4.07E-05,0.228218067
HP:0001005,Dermatological manifestations of systemic disorders,0,0.227409828
HP:0100852,Abnormal fear/anxiety-related behavior,6.67E-07,0.226909014
HP:0000976,Eczematoid dermatitis,0.226789645,0.226789645
HP:0000464,Abnormality of the neck,0.000266079,0.22620814
HP:0001873,Thrombocytopenia,0.017091048,0.226207473
HP:0000370,Abnormality of the middle ear,4.33E-05,0.226076101
HP:0011729,Abnormality of joint mobility,0,0.225841365
HP:0000739,Anxiety,0.225681985,0.225681985
HP:0040064,Abnormality of limbs,0.001169012,0.224160869
HP:0002087,Abnormality of the upper respiratory tract,2.00E-06,0.223163241
HP:0003781,Excessive salivation,0.223065212,0.223065212
HP:0002307,Drooling,0.223065212,0.223065212
HP:0004396,Poor appetite,0.222855817,0.222855817
HP:0000080,Abnormality of reproductive system physiology,0,0.222840479
HP:0100749,Chest pain,0.222511048,0.222515716
HP:0001877,Abnormal erythrocyte morphology,7.74E-05,0.222372341
HP:0010307,Stridor,0.221825512,0.221825512
HP:0002733,Abnormality of the lymph nodes,2.00E-06,0.221323364
HP:0002329,Drowsiness,0.221301358,0.221301358
HP:0000388,Otitis media,0.21854321,0.221223335
HP:0012243,Abnormal reproductive system morphology,1.33E-06,0.217545582
HP:0002716,Lymphadenopathy,0.217047435,0.217186142
HP:0002242,Abnormal intestine morphology,0.003158266,0.215299585
HP:0001903,Anemia,0.20854559,0.213912509
HP:0011061,Abnormality of dental structure,1.33E-06,0.213645097
HP:0003110,Abnormality of urine homeostasis,0.000270747,0.213064258
HP:0000670,Carious teeth,0.211589156,0.211589156
HP:0005986,Limitation of neck motion,0.0001127,0.211496462
HP:0001999,Abnormal facial shape,0.005161524,0.210914957
HP:0031670,Continuous heart murmur,0.209599902,0.209599902
HP:0012211,Abnormal renal physiology,0.000865589,0.208819671
HP:0025354,Abnormal cellular phenotype,0,0.206076861
HP:0011017,Abnormal cellular physiology,0,0.206048853
HP:0000822,Hypertension,0.205031886,0.205050558
HP:0009830,Peripheral neuropathy,0.010020293,0.204638437
HP:0012443,Abnormality of brain morphology,0.000124703,0.203985577
HP:0001279,Syncope,0.202006993,0.202301746
HP:0001376,Limitation of joint mobility,0.000250741,0.201867618
HP:0025280,Pain characteristic,0,0.199920376
HP:0001387,Joint stiffness,0.00875792,0.19981968
HP:0001367,Abnormal joint morphology,0.002155303,0.199170155
HP:0011874,Heparin-induced thrombocytopenia,0.196872143,0.196872143
HP:0000504,Abnormality of vision,0.000601511,0.196689422
HP:0004356,Abnormality of lysosomal metabolism,6.67E-07,0.19581383
HP:0003264,Deficiency of N-acetylglucosamine-1-phosphotransferase,0.195487067,0.195487067
HP:0001289,Confusion,0.191673274,0.194007297
HP:0000324,Facial asymmetry,0.006002439,0.194005296
HP:0005115,Supraventricular arrhythmia,3.93E-05,0.193406453
HP:0025068,Incomitant strabismus,1.33E-05,0.193008335
HP:0001824,Weight loss,0.192593546,0.192754927
HP:0005561,Abnormality of bone marrow cell morphology,0.00017005,0.192096066
HP:0012145,Abnormality of multiple cell lineages in the bone marrow,0,0.192037382
HP:0025258,Stiff neck,0.190779677,0.190779677
HP:0030864,Intercostal retractions,0.190614962,0.190614962
HP:0011974,Myelofibrosis,0.188773084,0.188773084
HP:0003474,Sensory impairment,0.100152912,0.188482332
HP:0000929,Abnormal skull morphology,6.00E-06,0.187224627
HP:0020110,Bone fracture,0.179463001,0.182751306
HP:0031622,Brown anomaly,0.18238253,0.18238253
HP:0012395,Seasonal allergy,0.181496269,0.181496269
HP:0003764,Nevus,0.059104789,0.181120157
HP:0010696,Polar cataract,0.000336099,0.179169581
HP:0001134,Anterior polar cataract,0.179033541,0.179034208
HP:0008047,Abnormality of the vasculature of the eye,0,0.176544139
HP:0025337,Red eye,0.086836312,0.176325408
HP:0020219,Motor seizure,0.005366918,0.175590524
HP:0011331,Hemifacial atrophy,0.175210412,0.175210412
HP:0004755,Supraventricular tachycardia,0.007400186,0.174455523
HP:0011844,Abnormal appendicular skeleton morphology,0,0.172990423
HP:0002789,Tachypnea,0.172335563,0.172335563
HP:0025267,Snoring,0.170216937,0.17025895
HP:0032180,Abnormal circulating metabolite concentration,0,0.169753467
HP:0004763,Paroxysmal supraventricular tachycardia,0.000276082,0.169130617
HP:0001337,Tremor,0.168939894,0.169079935
HP:0006671,Paroxysmal atrial tachycardia,0.168928557,0.168928557
HP:0011097,Epileptic spasm,0.168523771,0.168523771
HP:0001600,Abnormality of the larynx,6.67E-05,0.167090014
HP:0025423,Abnormal larynx morphology,0,0.166153737
HP:0002205,Recurrent respiratory infections,0.001575799,0.165722944
HP:0001787,Abnormal delivery,2.60E-05,0.164455903
HP:0040279,Frequency,0,0.162700718
HP:0040284,Very rare,0.162700718,0.162700718
HP:0002814,Abnormality of the lower limb,2.20E-05,0.160986878
HP:0012759,Neurodevelopmental abnormality,1.87E-05,0.159275706
HP:0033000,Subglottic laryngitis,0.157692572,0.157692572
HP:0100790,Hernia,0.155988068,0.157222433
HP:0031273,Shock,0.157106399,0.1571104
HP:0500093,Food allergy,0.099460707,0.156135445
HP:0004297,Abnormality of the biliary system,1.33E-06,0.155196501
HP:0001622,Premature birth,0.15389345,0.15389345
HP:0009763,Limb pain,0.007616249,0.152724438
HP:0200034,Papule,0.152555721,0.152583063
HP:0002090,Pneumonia,0.15172681,0.152389672
HP:0100518,Dysuria,0.15224563,0.15224563
HP:0008066,Abnormal blistering of the skin,0.151770823,0.151774824
HP:0011821,Abnormality of facial skeleton,2.00E-06,0.150255042
HP:0032251,Abnormal immune system morphology,0,0.149076694
HP:0000502,Abnormal conjunctiva morphology,6.67E-07,0.148799279
HP:0002813,Abnormality of limb bone morphology,5.33E-05,0.148740595
HP:0040068,Abnormality of limb bone,6.67E-07,0.148740595
HP:0030680,Abnormality of cardiovascular system morphology,4.20E-05,0.147364855
HP:0025143,Chills,0.144636049,0.145867746
HP:0000958,Dry skin,0.145189546,0.145189546
HP:0004429,Recurrent viral infections,0.00077823,0.145104187
HP:0001396,Cholestasis,0.003186941,0.144482004
HP:0005396,Susceptibility to coronavirus 229e,0.144391977,0.144391977
HP:0000508,Ptosis,0.140737564,0.143687102
HP:0000952,Jaundice,0.142806175,0.14280951
HP:0100533,Inflammatory abnormality of the eye,0.000138041,0.142442068
HP:0030012,Abnormal female reproductive system physiology,0,0.141429769
HP:0004298,Abnormality of the abdominal wall,6.67E-07,0.140706222
HP:0031955,Antalgic gait,0.139129089,0.139129089
HP:0012591,Abnormal urinary electrolyte concentration,0,0.137469266
HP:0000961,Cyanosis,0.044453795,0.136170882
HP:0025281,Sharp,0.135714748,0.135714748
HP:0000245,Abnormality of the paranasal sinuses,0,0.13545267
HP:0000246,Sinusitis,0.135391986,0.135445335
HP:0006527,Lymphoid interstitial pneumonia,0.135326633,0.135326633
HP:0000752,Hyperactivity,0.07390516,0.135092564
HP:0025085,Bloody diarrhea,0.121258478,0.134422366
HP:0011338,Abnormality of mouth shape,0,0.134248982
HP:0000509,Conjunctivitis,0.129611612,0.134089601
HP:0000194,Open mouth,0.134080932,0.134080932
HP:0000820,Abnormality of the thyroid gland,0.041462245,0.133811519
HP:0000925,Abnormality of the vertebral column,0.000129372,0.133687482
HP:0005942,Desquamative interstitial pneumonitis,0.133290032,0.133290032
HP:0000217,Xerostomia,0.132408438,0.132408438
HP:0010461,Abnormality of the male genitalia,0,0.132284401
HP:0003119,Abnormal circulating lipid concentration,0.006755328,0.131987647
HP:0012758,Neurodevelopmental delay,0.000260744,0.131890952
HP:0012599,Abnormal urine phosphate concentration,0,0.131318116
HP:0003109,Hyperphosphaturia,4.60E-05,0.131304112
HP:0003239,Phosphoethanolaminuria,0.131261433,0.131261433
HP:0000711,Restlessness,0.106800875,0.129350201
HP:0000811,Abnormal external genitalia,1.13E-05,0.128904737
HP:0000032,Abnormality of male external genitalia,0,0.127728389
HP:0011124,Abnormality of epidermal morphology,6.67E-07,0.127428967
HP:0001062,Atypical nevus,0.127219572,0.127219572
HP:0001259,Coma,0.126080569,0.126080569
HP:0001254,Lethargy,0.125010253,0.125010253
HP:0002104,Apnea,0.116424384,0.124285372
HP:0003107,Abnormal circulating cholesterol concentration,6.67E-07,0.124259365
HP:0011948,Recurrent acute respiratory tract infection,6.00E-06,0.123417783
HP:0011950,Bronchiolitis,0.123413782,0.123413782
HP:0003124,Hypercholesterolemia,0.121655262,0.121655262
HP:0025095,Sneeze,0.118965134,0.118965134
HP:0000505,Visual impairment,0.053294406,0.118810422
HP:0011028,Abnormality of blood circulation,6.67E-07,0.118809755
HP:0000736,Short attention span,0.00935743,0.118193573
HP:0100699,Scarring,0.11414371,0.118066869
HP:0012514,Lower limb pain,0.023006128,0.117906155
HP:0000364,Hearing abnormality,0.00226867,0.117038565
HP:0100658,Cellulitis,0.116788492,0.116788492
HP:0200039,Pustule,0.115745517,0.116175644
HP:0003326,Myalgia,0.115638152,0.115642153
HP:0000864,Abnormality of the hypothalamus-pituitary axis,1.33E-06,0.114835248
HP:0012503,Abnormality of the pituitary gland,0.013972126,0.114832581
HP:0007018,Attention deficit hyperactivity disorder,0.114825912,0.114825912
HP:0040189,Scaling skin,0.114801238,0.114805906
HP:0000492,Abnormal eyelid morphology,6.67E-07,0.113683575
HP:0002244,Abnormality of the small intestine,2.67E-06,0.11334214
HP:0011029,Internal hemorrhage,0.00054016,0.11284466
HP:0004386,Gastrointestinal inflammation,0.000973621,0.112209139
HP:0002015,Dysphagia,0.111968401,0.111974403
HP:0007185,Loss of consciousness,0.111330213,0.111330213
HP:0500015,Abnormal cardiac test,0,0.11129687
HP:0000812,Abnormal internal genitalia,1.33E-06,0.110958103
HP:0001061,Acne,0.110455288,0.110783385
HP:0010832,Abnormality of pain sensation,0,0.110702694
HP:0031826,Abnormal reflex,0.000519487,0.110589327
HP:0000144,Decreased fertility,0.000110032,0.110460623
HP:0000789,Infertility,0.110424612,0.110424612
HP:0007328,Impaired pain sensation,6.94E-05,0.110360593
HP:0007021,Pain insensitivity,0.110323916,0.110323916
HP:0011410,Caesarian section,0.10968306,0.10968306
HP:0001933,Subcutaneous hemorrhage,1.80E-05,0.10932362
HP:0001627,Abnormal heart morphology,0.020760131,0.108622747
HP:0011138,Abnormality of skin adnexa morphology,0,0.108512047
HP:0410018,Recurrent ear infections,0.108498043,0.108498043
HP:0010866,Abdominal wall defect,0.045233359,0.108135936
HP:0008069,Neoplasm of the skin,0.016660921,0.107097629
HP:0010460,Abnormality of the female genitalia,0,0.10431014
HP:0000008,Abnormal morphology of female internal genitalia,0,0.103713964
HP:0000979,Purpura,0.01371405,0.102696997
HP:0011830,Abnormal oral mucosa morphology,0,0.101914099
HP:0032556,Circumoral cyanosis,0.10075709,0.10075709
HP:0011805,Abnormal skeletal muscle morphology,6.67E-07,0.100315627
HP:0000140,Abnormality of the menstrual cycle,0.000122703,0.099470043
HP:0031365,Macular purpura,2.07E-05,0.099303328
HP:0002076,Migraine,0.098968562,0.098977231
HP:0002960,Autoimmunity,0.048763068,0.098843859
HP:0031245,Productive cough,0.097547476,0.097547476
HP:0012733,Macule,0.089048299,0.097446112
HP:0100515,Pollakisuria,0.097392763,0.097392763
HP:0000365,Hearing impairment,0.096297773,0.096576522
HP:0011134,Low-grade fever,0.096139727,0.096139727
HP:0000750,Delayed speech and language development,0.087619877,0.0960497
HP:0000045,Abnormality of the scrotum,0,0.095963008
HP:0025282,Dull,0.09383838,0.09383838
HP:0100568,Neoplasm of the endocrine system,0.000176052,0.093704341
HP:0002239,Gastrointestinal hemorrhage,0.009373435,0.093442263
HP:0000356,Abnormality of the outer ear,0.002528747,0.093050814
HP:0011747,Abnormality of the anterior pituitary,0.013972126,0.092802074
HP:0025276,Abnormality of skin adnexa physiology,0,0.092687374
HP:0007550,Hypohidrosis or hyperhidrosis,0,0.092536662
HP:0000975,Hyperhidrosis,0.092512655,0.092512655
HP:0031246,Nonproductive cough,0.091803113,0.091803113
HP:0030163,Abnormal vascular physiology,6.67E-07,0.091178261
HP:0030833,Neck pain,0.090460716,0.090460716
HP:0025084,Folliculitis,0.014016139,0.089801855
HP:0025144,Shivering,0.051146439,0.089118986
HP:0002608,Celiac disease,0.08909698,0.08909698
HP:0012614,Abnormal urine cytology,1.33E-06,0.08878222
HP:0000858,Irregular menstruation,0.020857493,0.08851014
HP:0004375,Neoplasm of the nervous system,3.67E-05,0.088360763
HP:0000632,Lacrimation abnormality,1.33E-06,0.087690565
HP:0009926,Epiphora,0.087537853,0.087557192
HP:0100659,Abnormality of the cerebral vasculature,1.33E-06,0.087418484
HP:0001000,Abnormality of skin pigmentation,0.001876554,0.087153739
HP:0200026,Ocular pain,0.087120396,0.087120396
HP:0100765,Abnormality of the tonsils,0,0.086478207
HP:0000790,Hematuria,0.085948717,0.086272146
HP:0001595,Abnormal hair morphology,0.000164048,0.085290522
HP:0031258,Delirium,0.085017775,0.085017775
HP:0000372,Abnormality of the auditory canal,4.67E-06,0.084699681
HP:0003115,Abnormal EKG,0.058475937,0.084536967
HP:0002577,Abnormal stomach morphology,1.33E-06,0.083990805
HP:0033050,Pharyngalgia,0.083940124,0.083940124
HP:0033152,Abnormal pharynx physiology,0,0.083940124
HP:0010674,Abnormality of the curvature of the vertebral column,0.001395746,0.083662708
HP:0000729,Autistic behavior,0.031832735,0.083335945
HP:0000155,Oral ulcer,0.08268642,0.08268642
HP:0025145,Rigors,0.081290008,0.081290008
HP:0002576,Intussusception,0.080712504,0.080712504
HP:0011226,Aplasia/Hypoplasia of the eyelid,0,0.080188349
HP:0031284,Flushing,0.080166342,0.080166342
HP:0011224,Ablepharon,0.080025634,0.080025634
HP:0020083,Furuncle,0.079947611,0.079947611
HP:0000717,Autism,0.079830243,0.079830243
HP:0011968,Feeding difficulties,0.076601956,0.078775932
HP:0001881,Abnormal leukocyte morphology,0.000173385,0.078534527
HP:0010987,Abnormal cellular immune system morphology,0,0.078534527
HP:0100491,Abnormality of lower limb joint,0,0.07804705
HP:0000622,Blurred vision,0.077836988,0.077836988
HP:0000421,Epistaxis,0.077158121,0.077158121
HP:0000763,Sensory neuropathy,0.000391449,0.076802016
HP:0100607,Dysmenorrhea,0.076772007,0.076772007
HP:0003401,Paresthesia,0.076376557,0.076534603
HP:0005607,Abnormal tracheobronchial morphology,2.67E-06,0.07638856
HP:0001047,Atopic dermatitis,0.07633121,0.07633121
HP:0012590,Abnormal urine output,7.34E-06,0.075829062
HP:0011036,Abnormality of renal excretion,0,0.075829062
HP:0001760,Abnormal foot morphology,0.002392707,0.075580988
HP:0011799,Abnormality of facial soft tissue,0,0.075479625
HP:0031353,Otitis media with effusion,0.075360923,0.075360923
HP:0011772,Abnormal thyroid morphology,6.67E-07,0.074896786
HP:0002250,Abnormal large intestine morphology,6.67E-07,0.074780085
HP:0010625,Anterior pituitary dysgenesis,0.074452655,0.074531345
HP:0001369,Arthritis,0.067561286,0.074197913
HP:0040262,Glue ear,0.074172572,0.074172572
HP:0025015,Abnormal vascular morphology,1.33E-06,0.074004523
HP:0002476,Primitive reflex,0.071905236,0.073927166
HP:0040069,Abnormal lower limb bone morphology,0,0.07353305
HP:0011362,Abnormal hair quantity,0,0.073120928
HP:0004377,Hematological neoplasm,0.000813574,0.07308025
HP:0004299,Hernia of the abdominal wall,0.000357439,0.072644788
HP:0032012,Heterotropia,0.062243049,0.071652495
HP:0410328,Egg allergy,0.071593144,0.071593144
HP:0001513,Obesity,0.071473108,0.071473108
HP:0002835,Aspiration,0.071255044,0.071255044
HP:0002650,Scoliosis,0.070843589,0.071030978
